Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
TLC,Facebook,http://www.facebook.com/pages/NYC-Taxi-and-Limousine-Commission/101679939900978?v=wall,2012-12-12,505
MOAE,YouTube,http://www.youtube.com/YouCanTooNYC,2012-12-12,3
DSNY,YouTube,http://www.youtube.com/nycrecyclemore,2012-12-12,1
DOH,YouTube,http://www.youtube.com/user/drinkingsugar,2012-12-12,143
ENDHT,Facebook,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,2012-12-12,5
VAC,Facebook,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,2012-12-12,42
PlaNYC,Facebook,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,2012-12-12,60
DFTA,Facebook,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,2012-12-12,118
energyNYC,Facebook,http://www.facebook.com/EnergyNYC?sk=wall,2012-12-12,145
MOIA,Facebook,http://www.facebook.com/ihwnyc,2012-12-12,132
City Store,Facebook,http://www.facebook.com/citystorenyc,2012-12-12,168
OCDV,Facebook,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,2012-12-12,299
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,2012-12-12,219
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,2012-12-12,244
DOB,Facebook,http://www.facebook.com/NYCurbancanvas,2012-12-12,216
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,2012-12-12,307
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,2012-12-12,236
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,2012-12-12,244
DFTA,Facebook,http://www.facebook.com/timebanksnyc,2012-12-12,260
DOB,Facebook,http://www.facebook.com/coolroofs?sk=wall,2012-12-12,276
NYC & Co,Facebook,http://www.facebook.com/nycgo.nl,2012-12-12,284
MOIA,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,2012-12-12,291
CAU,Facebook,http://www.facebook.com/NYCMayorsCAU,2012-12-12,289
DOITT,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-INFORMATION-TECHNOLOGY-TELECOMMUNICATIONS/104786059565184,2012-12-12,284
City Charter,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-Charter-Revision-Commission/110528715643388,2012-12-12,284
Veteran's Affairs,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Veterans-Affairs/128003537214726,2012-12-12,312
DHS,Facebook,http://www.facebook.com/pages/New-York-NY/HOPE-2011/157690657606772,2012-12-12,294
NYC & Co,Facebook,http://www.facebook.com/nycgo.de,2012-12-12,377
NYC & Co,Facebook,http://www.facebook.com/nycgo.fr,2012-12-12,361
SICB1,Facebook,https://www.facebook.com/CB1SI,2012-12-12,325
ACS,Facebook,http://www.facebook.com/FamilyConnectionsNYC,2012-12-12,369
DCA,Facebook,http://www.facebook.com/NYCDCA,2012-12-12,370
NYC & Co,Facebook,http://www.facebook.com/nycgo.au,2012-12-12,383
NYC & Co,Facebook,http://www.facebook.com/nycgo.ca,2012-12-12,404
NYCHA,Facebook,http://www.facebook.com/NYCHA,2012-12-12,600
NYC & Co,Facebook,http://www.facebook.com/nycgo.uk,2012-12-12,657
NYC & Co,Facebook,http://www.facebook.com/nycgo.it,2012-12-12,852
Culture,Facebook,https://www.facebook.com/piypnyc,2012-12-12,698
SBS,Facebook,http://www.facebook.com/NYCBusiness,2012-12-12,810
FUND,Facebook,http://www.facebook.com/mayorsfundtoadvancenyc,2012-12-12,801
DOT,Facebook,http://www.facebook.com/YouTheManNYC,2012-12-12,874
NYC & Co,Facebook,http://www.facebook.com/nycgo.es,2012-12-12,1364
HHC,Facebook,http://www.facebook.com/nychhc,2012-12-12,1023
MOME,Facebook,http://www.facebook.com/nycmedia.jobhunt,2012-12-12,1102
GreeNYC,Facebook,https://www.facebook.com/birdienyc,2012-12-12,1244
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,2012-12-12,1323
DOH,Facebook,http://www.facebook.com/NYCKnows,2012-12-12,1591
DOE,Facebook,http://www.facebook.com/nycgrads,2012-12-12,1839
DEP,Facebook,http://www.facebook.com/nycwater,2012-12-12,2114
MOME,Facebook,https://www.facebook.com/NYCMedia,2012-12-12,2532
EDC,Facebook,http://www.facebook.com/NYCEDC,2012-12-12,2793
SBS,Facebook,http://www.facebook.com/nycworkforce1,2012-12-12,3687
DOT,Facebook,http://www.facebook.com/NYCDOT,2012-12-12,3362
EDC,Facebook,http://www.facebook.com/AppSciNYC,2012-12-12,3537
DYCD,Facebook,http://www.facebook.com/nycyouth,2012-12-12,4309
DOH,Facebook,http://www.facebook.com/EatingHealthyNYC,2012-12-12,6645
NYC & Co,Facebook,http://www.facebook.com/nycgo.br,2012-12-12,4471
DOE,Facebook,http://www.facebook.com/NYCTeachingFellows,2012-12-12,4810
NYCService,Facebook,http://www.facebook.com/nycservice,2012-12-12,5215
NYC Mayors Cup,Facebook,https://www.facebook.com/nycmayorscup,2012-12-12,6758
DOH,Facebook,http://www.facebook.com/nycquits,2012-12-12,6595
DOE,Facebook,http://www.facebook.com/pages/I-TEACH-NYC/11409913191,2012-12-12,7420
DOE,Facebook,http://www.facebook.com/fundforpublicschools,2012-12-12,8223
DPR,Facebook,http://www.facebook.com/nycparks,2012-12-12,12020
OEM,Facebook,http://www.facebook.com/nycemergencymanagement,2012-12-12,13417
DOE,Facebook,http://www.facebook.com/NYCschools,2012-12-12,18067
DOH,Facebook,http://www.facebook.com/NYCcondom,2012-12-12,17593
NYC & Co,Facebook,http://www.facebook.com/nycgo,2012-12-12,25510
FDNY,Facebook,http://www.facebook.com/FDNYhome,2012-12-12,64642
CCRB,Facebook,https://www.facebook.com/home.php#!/pages/NYC-Civilian-Complaint-Review-Board/152765208087880,2012-12-12,13
DOB,Facebook,http://www.facebook.com/NYCBuildings,2012-12-12,853
DSNY,Facebook,http://www.facebook.com/pages/NYC-Recycle-More-Waste-Less/152173854860863,2012-12-12,68
LPC,Facebook,http://www.facebook.com/pages/NYC-Landmarks-Preservation-Commission/133261836703216,2012-12-12,15
MOAE,Facebook,http://www.facebook.com/pages/You-Can-Too/203525729692056,2012-12-12,10
LMEC,Flickr,http://www.facebook.com/pages/New-York-NY/Latin-Media-and-Entertainment-Week/122259604487271,2012-12-12,216
GreeNYC,Foursquare,http://foursquare.com/birdie_nyc,2012-12-12,70
DOH,Foursquare,https://foursquare.com/nychealthy,2012-12-12,44
DOT,Foursquare,http://foursquare.com/user/7474166,2012-12-12,3
DPR,Foursquare,https://foursquare.com/nycparks,2012-12-12,8887
EDC,Foursquare,https://foursquare.com/user/3045331,2012-12-12,18
NYCHA,Foursquare,https://foursquare.com/nycha,2012-12-12,382
311,iTunes,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,2012-12-12,16879
DOH,iTunes,http://itunes.apple.com/app/nyc-condom-finder-by-nyc-health/id418902795,2012-12-12,8041
DSNY,iTunes,http://itunes.apple.com/us/app/nycrecycles/id445457149?ls=1&mt=8,2012-12-12,171
DSNY,iTunes,http://itunes.apple.com/us/app/stuff-ex/id445438603?ls=1&mt=8,2012-12-12,142
Mayor's Office,iTunes,http://itunes.apple.com/us/app/nyc-city-hall/id375398827?mt=8,2012-12-12,3186
MOME,iTunes,http://itunes.apple.com/us/app/nyc-media-app/id433177943?mt=8,2012-12-12,944
MOME,iTunes,http://itunes.apple.com/us/app/miny-discount-vendors/id372448233?mt=8,2012-12-12,350
DOE,Linked-In,http://www.linkedin.com/groups?gid=1545057&home=,2012-12-12,206
DOE,Linked-In,http://www.linkedin.com/company/nyc-teaching-fellows,2012-12-12,1458
DOE,Linked-In,http://www.linkedin.com/company/nyc-department-of-education,2012-12-12,15084
SBS,Linked-In,http://www.linkedin.com/company/workforce1,2012-12-12,138
SBS,Linked-In,http://www.linkedin.com/company/small-business-services,2012-12-12,114
NYC Digital,Tumblr,http://nycdigital.tumblr.com,2012-12-12,1135
DOT,Tumblr,http://thedailypothole.tumblr.com,2012-12-12,293
EDC,Tumblr,http://nycedc.tumblr.com/,2012-12-12,819
NYC Digital,Tumblr,http://nycopendata.tumblr.com,2012-12-12,188
NYCDCAS,Twitter,http://twitter.com/NYCDCAS,2012-12-12,8
SBS,Twitter,https://twitter.com/NYCWorkforce1,2012-12-12,163
City Store,Twitter,http://twitter.com/citystorenyc,2012-12-12,76
LPC,Twitter,https://twitter.com/NYCLPC,2012-12-12,231
DOE,Twitter,http://twitter.com/alumny,2012-12-12,123
OEM,Twitter,http://twitter.com/NYCOEM,2012-12-12,133
NYC & Co,Twitter,http://twitter.com/nycgoshop,2012-12-12,233
LMEC,Twitter,http://twitter.com/nyclmew,2012-12-12,242
DPR,Twitter,http://www.twitter.com/Pearl_Squirrel,2012-12-12,189
HRA,Twitter,http://twitter.com/nychra,2012-12-12,330
NYC Digital,Twitter,http://twitter.com/nycdigital,2012-12-12,547
energyNYC,Twitter,http://twitter.com/energy_nyc,2012-12-12,273
DFTA,Twitter,http://twitter.com/NYCaging,2012-12-12,386
DOE,Twitter,http://twitter.com/TheFundforPS,2012-12-12,288
MOPD,Twitter,http://twitter.com/nyc_mopd,2012-12-12,407
